"﻿http://court.gov.ua/log_documents/24901288/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 11:29:17...";"Єдиний унікальний номер: 761/33146/17";"Номер провадження: 1-кс/761/21102/2017";"Номер провадження слідчих органів: 1/2017/11/000/0000144";;;;;
"http://court.gov.ua/log_documents/24917000/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:02:45...";"Єдиний унікальний номер: 761/33224/17";"Номер провадження: 3/761/6944/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24917003/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:04:30...";"Єдиний унікальний номер: 761/33226/17";"Номер провадження: 2/761/7227/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24917043/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:04:40...";"Єдиний унікальний номер: 761/33225/17";"Номер провадження: 3/761/6945/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24917174/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:07:46...";"Єдиний унікальний номер: 761/33228/17";"Номер провадження: 2/761/7228/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24917177/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:06:43...";"Єдиний унікальний номер: 761/33227/17";"Номер провадження: 3/761/6946/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24917424/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:10:02...";"Єдиний унікальний номер: 761/33229/17";"Номер провадження: 3/761/6947/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24917450/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:12:11...";"Єдиний унікальний номер: 761/33232/17";"Номер провадження: 2/761/7229/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24917509/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:46:32...";"Єдиний унікальний номер: 761/33230/17";"Номер провадження: 1-кс/761/21151/2017";"Номер провадження слідчих органів: 1/2013/11/010/0013505";;;;;
"http://court.gov.ua/log_documents/24917719/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:11:56...";"Єдиний унікальний номер: 761/33231/17";"Номер провадження: 3/761/6948/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24917900/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:13:50...";"Єдиний унікальний номер: 761/33233/17";"Номер провадження: 3/761/6949/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
